,Source,Target,Type,Id,Label,timeset,Weight,unnamed: 0,unnamed: 0.1,unnamed: 0.1.1,date,link,tweet,before/after,target,source
595,EstebanWXcast,slaplana_tve,Directed,660,,,1,16061,3204,3198,2017-09-20,"('EstebanWXcast', 'slaplana_tve')","rt @slaplana_tve: en el puerto de yabucoa (puerto rico) las rachas de viento superan ya los 180 km/h y el mar ha subido 1,5 metros. (…",,slaplana_tve,EstebanWXcast
596,CANDELA2010,pulsionparcial,Directed,661,,,1,16068,3211,3205,2017-09-20,"('CANDELA2010', 'pulsionparcial')","rt @pulsionparcial: se llaman pasantias, son en el último año, y ayudan a la inserción laboral. manga de burros con iphone y remeras de…",,pulsionparcial,CANDELA2010
597,AdrianaAtenci13,marianodealba,Directed,662,,,1,16129,3272,3266,2017-09-20,"('AdrianaAtenci13', 'marianodealba')",rt @marianodealba: dpto. del tesoro de eeuu emite guía para ayudar a evaluar si operaciones con entidades venezolanas tienen relación con h…,,marianodealba,AdrianaAtenci13
598,revistamoi,SoyBreni,Directed,663,,,1,16153,3296,3290,2017-09-20,"('revistamoi', 'SoyBreni')","rt @soybreni: @revistamoi rt, plis compartan, falta comida. https://t.co/owf6niq7fi",,SoyBreni,revistamoi
599,MarcoAn83830817,Esepinchewey,Directed,664,,,2,16169,3312,3306,2017-09-20,"('MarcoAn83830817', 'Esepinchewey')","rt @esepinchewey: quería pararme para ayudarlos pero vienen custodiados por policías del estado de méxico por rapiña, supongo. son un buen…",,Esepinchewey,MarcoAn83830817
600,RikiCamfumfa,ElNuevoDia,Directed,666,,,3,83165,1068,1064,2017-10-14,"('RikiCamfumfa', 'ElNuevoDia')",rt @elnuevodia: irlanda y reino unido se preparan para el azote del huracán ophelia https://t.co/glqan51gtp,,ElNuevoDia,RikiCamfumfa
601,RamonFebus,Seniorr__,Directed,667,,,1,16224,3367,3361,2017-09-20,"('RamonFebus', 'Seniorr__')","rt @seniorr__: 🚨🚨apaguen el lte y usen solamente 4g, puede ayudar a coger señal🚨🚨",,Seniorr__,RamonFebus
602,PRDayTrips,mcuban,Directed,668,,,1,16229,3372,3366,2017-09-20,"('PRDayTrips', 'mcuban')",rt @mcuban: puerto rico hurricane  maria relief fund https://t.co/b4tr5bzklg via @youcaring,,mcuban,PRDayTrips
603,PRDayTrips,youcaring,Directed,669,,,1,16230,3373,3367,2017-09-20,"('PRDayTrips', 'youcaring')",rt @mcuban: puerto rico hurricane  maria relief fund https://t.co/b4tr5bzklg via @youcaring,,youcaring,PRDayTrips
604,luisrey619,tamezjorge,Directed,670,,,1,16237,3380,3374,2017-09-20,"('luisrey619', 'tamezjorge')","rt @tamezjorge: alguien podría ayudarme a identificar a estos políticos ?? al menos saber de qué partido son??

rt porfavor https://t.co/qm…",,tamezjorge,luisrey619
605,luzellentr,EcuavisaInforma,Directed,671,,,1,16279,3422,3416,2017-09-20,"('luzellentr', 'EcuavisaInforma')",rt @ecuavisainforma: #méxico resiste a la lluvia y la noche para continuar rescate tras fuerte #sismo. https://t.co/tdpl9q5zed https://t.co…,,EcuavisaInforma,luzellentr
606,JannyMir,mriverasanchez,Directed,672,,,1,16303,3446,3440,2017-09-20,"('JannyMir', 'mriverasanchez')","rt @mriverasanchez: el río fajardo hizo estragos, aún donde nunca se había metido. aquí, una urbanización completa bajo agua…",,mriverasanchez,JannyMir
607,PetterBscManuel,EduardomteleSUR,Directed,673,,,2,16347,3490,3484,2017-09-20,"('PetterBscManuel', 'EduardomteleSUR')","rt @eduardomtelesur: se interrumpe servicio de agua potable al este de #puertorico, comienzan a reportar ciudadanos, quienes están a la esp…",,EduardomteleSUR,PetterBscManuel
608,RochaAldape,Foro_TV,Directed,675,,,1,16356,3499,3493,2017-09-20,"('RochaAldape', 'Foro_TV')","rt @foro_tv: reportan que en tlalpan sur, antes de llegar al trébol de taxqueña, colapsaron 2 edificios; hay heridos y no ha llegado ayuda…",,Foro_TV,RochaAldape
609,9_Tromba,patydavila19,Directed,676,,,1,16361,3504,3498,2017-09-20,"('9_Tromba', 'patydavila19')","rt @patydavila19: @alexvzlalibre hacia muuuucho tiempo que no sentía respeto por un militar, pero caguaripano me inspira confianza y respet…",,patydavila19,9_Tromba
610,monysalas13,SEMAR_mx,Directed,677,,,1,16369,4,4,2017-09-21,"('monysalas13', 'SEMAR_mx')","rt @semar_mx: su valiosa ayuda y amor por el ser humano, hacen que de su máximo esfuerzo para salvar vidas #perrosrescatistas https://t.co/…",,SEMAR_mx,monysalas13
611,Galoecuador,univisionNY,Directed,678,,,1,16379,14,14,2017-09-21,"('Galoecuador', 'univisionNY')",rt @univisionny: sin comunicación y con inundaciones. así está puerto rico tras el paso del huracán maría https://t.co/uig8mucqfn re…,,univisionNY,Galoecuador
612,MarcoAn83830817,manuelsol,Directed,679,,,1,16382,17,17,2017-09-21,"('MarcoAn83830817', 'manuelsol')","rt @manuelsol: gente de guadalajara, creamos éste centro de acopio en av patria con av guadalupe, restaurante julientina.  ayuda c…",,manuelsol,MarcoAn83830817
615,ShuVinilica,tuiterosunidos_,Directed,682,,,3,16796,431,431,2017-09-21,"('ShuVinilica', 'tuiterosunidos_')","rt @tuiterosunidos_: rt urgente

#ayudacdmx en div. del norte y vertiz.

urgen gatos hidráulicos desde hace 2 horas para rescatar a 3 pe…",,tuiterosunidos_,ShuVinilica
616,maritzaaceved11,arttesano,Directed,683,,,1,16416,51,51,2017-09-21,"('maritzaaceved11', 'arttesano')",rt @arttesano: aquí voltiando para pagar el recibo de la luz...,,arttesano,maritzaaceved11
617,conchitamou,AEEONLINE,Directed,684,,,1,16437,72,72,2017-09-21,"('conchitamou', 'AEEONLINE')","rt @aeeonline: proteja su vida,no toque cables del tendido eléctrico;podrían estar energizados por uso indebido de generadores. cc…",,AEEONLINE,conchitamou
618,empleoyexito,CCDmx,Directed,686,,,1,16530,165,165,2017-09-21,"('empleoyexito', 'CCDmx')",rt @ccdmx: brigadistas: @chapultepeccdmx @sedema_cdmx y #elccd preparamos una cena sencilla y un espacio de descanso. los espe…,,CCDmx,empleoyexito
619,empleoyexito,ChapultepecCDMX,Directed,687,,,1,16531,166,166,2017-09-21,"('empleoyexito', 'ChapultepecCDMX')",rt @ccdmx: brigadistas: @chapultepeccdmx @sedema_cdmx y #elccd preparamos una cena sencilla y un espacio de descanso. los espe…,,ChapultepecCDMX,empleoyexito
620,empleoyexito,SEDEMA_CDMX,Directed,688,,,1,16532,167,167,2017-09-21,"('empleoyexito', 'SEDEMA_CDMX')",rt @ccdmx: brigadistas: @chapultepeccdmx @sedema_cdmx y #elccd preparamos una cena sencilla y un espacio de descanso. los espe…,,SEDEMA_CDMX,empleoyexito
621,empleoyexito,rf_morelos,Directed,689,,,1,16543,178,178,2017-09-21,"('empleoyexito', 'rf_morelos')","rt @rf_morelos: jardines de méxico se une para ayudar a los damnificados en #morelos 

@jardinesdemex 
#morelosestadepie https://t.co/cifc5…",,rf_morelos,empleoyexito
622,empleoyexito,jardinesdemex,Directed,690,,,1,16544,179,179,2017-09-21,"('empleoyexito', 'jardinesdemex')","rt @rf_morelos: jardines de méxico se une para ayudar a los damnificados en #morelos 

@jardinesdemex 
#morelosestadepie https://t.co/cifc5…",,jardinesdemex,empleoyexito
623,mgfloresa28,NOTIGODINEZ,Directed,691,,,1,16545,180,180,2017-09-21,"('mgfloresa28', 'NOTIGODINEZ')",rt @notigodinez: maduro ignora agresiones de #epn; manda rescatistas y ayuda humanitaria para el pueblo de #méxico:…,,NOTIGODINEZ,mgfloresa28
624,laindomable72,MiguelCunillera,Directed,692,,,1,16560,195,195,2017-09-21,"('laindomable72', 'MiguelCunillera')","rt @miguelcunillera: y si están en posibilidad de ayudar. recuerden esto: mientras más compartimos, más tenemos. https://t.co/wfi322qupl",,MiguelCunillera,laindomable72
625,iveyjanette_207,Univision23,Directed,693,,,1,16582,217,217,2017-09-21,"('iveyjanette_207', 'Univision23')",rt @univision23: #enunminuto: puerto rico está inundada por el desbordamiento de los 8 ríos más importantes tras el paso de maría https://t…,,Univision23,iveyjanette_207
626,LeMoustreM,fabianarocioo,Directed,694,,,1,16659,294,294,2017-09-21,"('LeMoustreM', 'fabianarocioo')","rt @fabianarocioo: wow maria! bayamón,pr #hurricanemaria #maria #prwx #weatherchannel @deborahwapa @nwssanjuan @adamonzon…",,fabianarocioo,LeMoustreM
627,LeMoustreM,DeborahWAPA,Directed,695,,,1,16660,295,295,2017-09-21,"('LeMoustreM', 'DeborahWAPA')","rt @fabianarocioo: wow maria! bayamón,pr #hurricanemaria #maria #prwx #weatherchannel @deborahwapa @nwssanjuan @adamonzon…",,DeborahWAPA,LeMoustreM
628,LeMoustreM,NWSSanJuan,Directed,696,,,2,44594,173,173,2017-10-01,"('LeMoustreM', 'NWSSanJuan')",rt @nwssanjuan: aviso de inundaciones repentinas extendido hasta 10 pm del lunes. no regrese a comunidades desalojadas a lo largo d…,,NWSSanJuan,LeMoustreM
629,jri2,marcorubio,Directed,698,,,1,16676,311,311,2017-09-21,"('jri2', 'marcorubio')",rt @marcorubio: #puertorico estamos contigo. vamos a hacer todo lo posible para que reciban la ayuda que necesitan pronto #huracanmaria,,marcorubio,jri2
630,4BillLewis,WoozyWill_FTB,Directed,699,,,1,16695,330,330,2017-09-21,"('4BillLewis', 'WoozyWill_FTB')",rt @woozywill_ftb: #fromthebottomtv: hurricane irma in atlanta #hurricaneseason #hurricaneirma #hurricanemaria #pray https://t.co/cd8l4dosy…,,WoozyWill_FTB,4BillLewis
631,yndira_moreno,dianlovesyou,Directed,700,,,1,16696,331,331,2017-09-21,"('yndira_moreno', 'dianlovesyou')",rt @dianlovesyou: por frida y por todos los demás #aquinecesitamos ayuda para nuestros amigos peludos. #morelosestadepie #jojutla…,,dianlovesyou,yndira_moreno
632,empleoyexito,SSP_CDMX,Directed,701,,,1,16764,399,399,2017-09-21,"('empleoyexito', 'SSP_CDMX')","rt @ssp_cdmx: preparados para continuar con la búsqueda de personas, trabajamos coordinados con equipos de rescate y paramédicos…",,SSP_CDMX,empleoyexito
633,NvaIzq,VillanuevaMukul,Directed,702,,,1,16765,400,400,2017-09-21,"('NvaIzq', 'VillanuevaMukul')",rt @villanuevamukul: su necesitas ayuda para encontrar personas comunicate al 55 3993 9549 https://t.co/3iic4rlgev,,VillanuevaMukul,NvaIzq
634,laindomable72,NemenNader1,Directed,703,,,1,16775,410,410,2017-09-21,"('laindomable72', 'NemenNader1')","rt @nemennader1: maría recuperó categoría 3 un máximo de 5 escala saffir-simpson cerca del extremo oriental de rep-dom, con vientos…",,NemenNader1,laindomable72
635,ShuVinilica,berepechl,Directed,704,,,1,16793,428,428,2017-09-21,"('ShuVinilica', 'berepechl')",rt @berepechl: @eidrian_gtz @tuiterosunidos_ así podrían ayudar más chicos miren https://t.co/r0ymm1oey7,,berepechl,ShuVinilica
636,ShuVinilica,eidrian_gtz,Directed,705,,,1,16794,429,429,2017-09-21,"('ShuVinilica', 'eidrian_gtz')",rt @berepechl: @eidrian_gtz @tuiterosunidos_ así podrían ayudar más chicos miren https://t.co/r0ymm1oey7,,eidrian_gtz,ShuVinilica
637,BestWebEnglish,isabel_dCO,Directed,708,,,1,16834,469,469,2017-09-21,"('BestWebEnglish', 'isabel_dCO')","rt @isabel_dco: excmo sr. @zoidoji 
¿qué tipo de órdenes tienen gc y pn para no intervenir?
mucho presumir: somos la policía mejor preparad…",,isabel_dCO,BestWebEnglish
638,BestWebEnglish,zoidoJI,Directed,709,,,1,16835,470,470,2017-09-21,"('BestWebEnglish', 'zoidoJI')","rt @isabel_dco: excmo sr. @zoidoji 
¿qué tipo de órdenes tienen gc y pn para no intervenir?
mucho presumir: somos la policía mejor preparad…",,zoidoJI,BestWebEnglish
639,LeMoustreM,DiarioLibre,Directed,710,,,1,16868,503,503,2017-09-21,"('LeMoustreM', 'DiarioLibre')",rt @diariolibre: video: más de 60 viviendas inundadas en el barrio la florida de higüey por el #huracánmaría https://t.co/2o2buny9n7 https:…,,DiarioLibre,LeMoustreM
640,LeMoustreM,Residente,Directed,711,,,3,72238,2071,2071,2017-10-10,"('LeMoustreM', 'Residente')",rt @residente: guatemala🇬🇹me encuentro en puerto rico ayudando a las personas afectadas por el huracán maría. el concierto lo movi…,,Residente,LeMoustreM
641,josemendoza999,trafficLARA,Directed,712,,,1,16913,548,548,2017-09-21,"('josemendoza999', 'trafficLARA')",rt @trafficlara: via @soublime:  @hidrolaraca no les duele el pueblo padeciendo tanto y para completar uds no le sueltan el agua 3 semanas…,,trafficLARA,josemendoza999
642,josemendoza999,soublime,Directed,713,,,1,16914,549,549,2017-09-21,"('josemendoza999', 'soublime')",rt @trafficlara: via @soublime:  @hidrolaraca no les duele el pueblo padeciendo tanto y para completar uds no le sueltan el agua 3 semanas…,,soublime,josemendoza999
643,josemendoza999,HidrolaraCA,Directed,714,,,1,16915,550,550,2017-09-21,"('josemendoza999', 'HidrolaraCA')",rt @trafficlara: via @soublime:  @hidrolaraca no les duele el pueblo padeciendo tanto y para completar uds no le sueltan el agua 3 semanas…,,HidrolaraCA,josemendoza999
644,empleoyexito,JesusMartinMx,Directed,715,,,1,16974,609,609,2017-09-21,"('empleoyexito', 'JesusMartinMx')",rt @jesusmartinmx: nos piden ayuda para localizar a esta persona. si alguien lo ha visto favor de informar. salió de voluntario y no h…,,JesusMartinMx,empleoyexito
645,Intrepido221BX,MrsDeGales,Directed,716,,,2,18565,2200,2200,2017-09-21,"('Intrepido221BX', 'MrsDeGales')","rt @mrsdegales: resumiré el día:

no hubo luz
no hubo internet 
no hubo señal de movistar ni digitel
no hubo agua
no hubo producción 

hech…",,MrsDeGales,Intrepido221BX
646,Intrepido221BX,RomeroGuilarte,Directed,717,,,1,16977,612,612,2017-09-21,"('Intrepido221BX', 'RomeroGuilarte')",rt @mrsdegales: a los niños huérfanos o abandonados rt @romeroguilarte ayudar a ancianos. rt https://t.co/bdelirjs2u,,RomeroGuilarte,Intrepido221BX
647,PamelaCevallosH,pictoline,Directed,718,,,1,17006,641,641,2017-09-21,"('PamelaCevallosH', 'pictoline')","rt @pictoline: a los rescatistas, brigadistas, voluntarios…
y a toda la gente chingona que ayuda:

gracias 🙌 🇲🇽 https://t.co/dxxmkiumek",,pictoline,PamelaCevallosH
648,LorenzoXavier,TachyVelez,Directed,719,,,1,17031,666,666,2017-09-21,"('LorenzoXavier', 'TachyVelez')",rt @tachyvelez: un grupo de boricuas aquí en tx como parte de otros estados han creado estas páginas para ayudar a pr por la devast…,,TachyVelez,LorenzoXavier
649,floralba1965,Mashi_Yaz,Directed,720,,,1,17049,684,684,2017-09-21,"('floralba1965', 'Mashi_Yaz')","rt @mashi_yaz: así la solidaridad en mí país 🇲🇽
mexicanos solidarios que no buscan la foto, sólo ayudar de manera anónima #sismo https://t.…",,Mashi_Yaz,floralba1965
650,EmiBertachini,lolitaapple,Directed,721,,,1,17053,688,688,2017-09-21,"('EmiBertachini', 'lolitaapple')","rt @lolitaapple: hoy, con lluvia y todo explota la primavera en merlo. residente + etchegoyen ❤️🌸  @valenetchegoye2 @residente https://t.co…",,lolitaapple,EmiBertachini
651,EmiBertachini,ValenEtchegoye2,Directed,722,,,1,17054,689,689,2017-09-21,"('EmiBertachini', 'ValenEtchegoye2')","rt @lolitaapple: hoy, con lluvia y todo explota la primavera en merlo. residente + etchegoyen ❤️🌸  @valenetchegoye2 @residente https://t.co…",,ValenEtchegoye2,EmiBertachini
652,EmiBertachini,Residente,Directed,723,,,2,74997,2044,2042,2017-10-11,"('EmiBertachini', 'Residente')","rt @residente: puerto rico, tengo un cargamento de comida en casa. llevo toda la mañana empacandola. el camión nunca llegó. alguien tiene u…",,Residente,EmiBertachini
654,EleidaRojas28,CNNEE,Directed,725,,,1,17153,788,788,2017-09-21,"('EleidaRojas28', 'CNNEE')",rt @cnnee: el sismo los dejó sin hogar pero ayudan desde el albergue https://t.co/qbn7c5qvfh https://t.co/3e9buhw21r,,CNNEE,EleidaRojas28
655,Intrepido221BX,Salud365,Directed,726,,,1,17161,796,796,2017-09-21,"('Intrepido221BX', 'Salud365')",rt @salud365: ¡espeluznante! se rompe la pierna mientras se ejercitaba en el gimnasio (video) #gym https://t.co/xi2jvskgg3,,Salud365,Intrepido221BX
656,laindomable72,HistoriaEnFotos,Directed,727,,,1,17187,822,822,2017-09-21,"('laindomable72', 'HistoriaEnFotos')",rt @historiaenfotos: la foto de hoy: porque no hay edad para ayudar.  este es mi méxico 🇲🇽 https://t.co/olfatrzhwg,,HistoriaEnFotos,laindomable72
657,CMManly,jorgeramosnews,Directed,728,,,1,17189,824,824,2017-09-21,"('CMManly', 'jorgeramosnews')","rt @jorgeramosnews: la reacción al terremoto se ha definido por la increíble solidaridad de mexicanos ayudando a mexicanos, arriesgando tod…",,jorgeramosnews,CMManly
658,WandaSoler2,cheboricua,Directed,729,,,1,17226,861,861,2017-09-21,"('WandaSoler2', 'cheboricua')",rt @cheboricua: acabando de llegar de caguas https://t.co/xibbvazrcf,,cheboricua,WandaSoler2
659,gilbertbatistar,yazme_23,Directed,730,,,1,17251,886,886,2017-09-21,"('gilbertbatistar', 'yazme_23')","rt @elnacionalweb: puestos de comida rápida suben los precios hasta dos veces por semana, por @yazme_23 https://t.co/zxjgfaj7z6",,yazme_23,gilbertbatistar
660,carloscppbs,RealFrankln,Directed,731,,,1,17305,940,940,2017-09-21,"('carloscppbs', 'RealFrankln')","rt @realfrankln: crees que los que negociaron tu libertad,  tu hambre abandonarán sus cargos millonarios para ayudarte. eso no sucederá! #l…",,RealFrankln,carloscppbs
661,Karlos_Kavayero,AdeAcento,Directed,732,,,1,17366,1001,1001,2017-09-21,"('Karlos_Kavayero', 'AdeAcento')",rt @adeacento: finalmente se fueron tres camiones de ayuda para #morelos. ¡gracias! ¡mañana seguiremos recibiendo ayuda! https://t.co/chm5b…,,AdeAcento,Karlos_Kavayero
662,fullbucketcow,amalia_mariie,Directed,733,,,1,17371,1006,1006,2017-09-21,"('fullbucketcow', 'amalia_mariie')","rt @amalia_mariie: por favor, necesito saber de guayanilla, juana días, ponce, yauco, aguadilla, barceloneta, vega baja, jayuya... #huracan…",,amalia_mariie,fullbucketcow
663,ShuVinilica,ECU911_,Directed,734,,,1,17456,1091,1091,2017-09-21,"('ShuVinilica', 'ECU911_')",rt @ecu911_: un saludo fraterno a los héroes ecuatorianos que arribaron a méxico para ayudar en las labores de rescate…,,ECU911_,ShuVinilica
664,SotoCaldex,NoCaptainChunk,Directed,735,,,1,17605,1240,1240,2017-09-21,"('SotoCaldex', 'NoCaptainChunk')","rt @nocaptainchunk: amigos de #puebla necesitamos ayuda. rt, rt https://t.co/x3q4qztqvz",,NoCaptainChunk,SotoCaldex
665,JdsgVEF16,licha05,Directed,736,,,1,17618,1253,1253,2017-09-21,"('JdsgVEF16', 'licha05')",rt @licha05: 🚨🚨se necesita con urgencia este medicamento🚨🚨info: silvia 04129394929 o sonia 04241827497🚨🚨ayuda🚨🚨 https://t.co/4lzbzzixmb,,licha05,JdsgVEF16
666,yndira_moreno,SkyAlertMx,Directed,737,,,1,17620,1255,1255,2017-09-21,"('yndira_moreno', 'SkyAlertMx')","rt @skyalertmx: municipios al sur de puebla, cercanos al epicentro, con muchos colapsos y estructuras en riesgo. requieren ayuda
fo…",,SkyAlertMx,yndira_moreno
667,BinaFinkKohl,UniNoticias,Directed,738,,,2,21766,2347,2345,2017-09-22,"('BinaFinkKohl', 'UniNoticias')",rt @uninoticias: sismo de magnitud 5.7 se siente en #california y las autoridades piden estar preparados para el 'big one'. https://t.co/vs…,,UniNoticias,BinaFinkKohl
668,mgfloresa28,SanjuanaMtz,Directed,739,,,2,26201,1287,1284,2017-09-24,"('mgfloresa28', 'SanjuanaMtz')","rt @sanjuanamtz: a @gracoramirez el que se ""retiene"" ayuda de los damnificados tampoco lo quieren en jojutla  https://t.co/maot8qzorw https…",,SanjuanaMtz,mgfloresa28
669,mgfloresa28,gracoramirez,Directed,740,,,2,26202,1288,1285,2017-09-24,"('mgfloresa28', 'gracoramirez')","rt @sanjuanamtz: a @gracoramirez el que se ""retiene"" ayuda de los damnificados tampoco lo quieren en jojutla  https://t.co/maot8qzorw https…",,gracoramirez,mgfloresa28
670,mgfloresa28,DIF_Morelos,Directed,741,,,1,17661,1296,1296,2017-09-21,"('mgfloresa28', 'DIF_Morelos')",rt @sanjuanamtz: denuncian al gobernador @gracoramirez y su señora esposa elena zepeda y el @dif_morelos por retener la ayuda…,,DIF_Morelos,mgfloresa28
671,Jcmartinez02,CarlosEmilton,Directed,742,,,1,17676,1311,1311,2017-09-21,"('Jcmartinez02', 'CarlosEmilton')","rt @carlosemilton: a esta hora, lluvia constante en santo domingo; viento mínimo. #huracanmariard #huracanmaria",,CarlosEmilton,Jcmartinez02
673,coromototwitte1,mariselopcam,Directed,745,,,1,17802,1437,1437,2017-09-21,"('coromototwitte1', 'mariselopcam')","rt @mariselopcam: ayudaaaa!!!!golden macho en cc la casona 1 se busca dueño. el perro está en la parada, es muy… https://t.co/gkfqvfsmsq",,mariselopcam,coromototwitte1
674,danyrose722,BoseOfficial,Directed,746,,,1,17821,1456,1456,2017-09-21,"('danyrose722', 'BoseOfficial')",rt @boseofficial: para las personas fuera de méxico que buscan formas de ayudar!! https://t.co/vosko6kgvw,,BoseOfficial,danyrose722
675,GUARETO1,ElNuevoDia,Directed,747,,,1,17922,1557,1557,2017-09-21,"('GUARETO1', 'ElNuevoDia')",saquean almacen de supermercado en comerío @elnuevodia https://t.co/u85ltzm0ne,,ElNuevoDia,GUARETO1
676,DanyCosmoVZLA,richardmardo,Directed,748,,,2,76246,289,289,2017-10-12,"('DanyCosmoVZLA', 'richardmardo')","#repost @richardmardo ・・・
este domingo vota en maracay, aragua https://t.co/z1cxi16vjy",,richardmardo,DanyCosmoVZLA
677,DanyCosmoVZLA,koyakmiranda,Directed,749,,,1,17925,1560,1560,2017-09-21,"('DanyCosmoVZLA', 'koyakmiranda')","#repost @richardmardo ・・・
#repost @koyakmiranda 
aquí si hay gobierno, contra el sabotaje no… https://t.co/ccluzyftec",,koyakmiranda,DanyCosmoVZLA
678,josemendoza999,HistoriaEnFotos,Directed,750,,,1,17959,1594,1594,2017-09-21,"('josemendoza999', 'HistoriaEnFotos')","rt @historiaenfotos: mi méxico 🇲🇽

#ayudacdmx https://t.co/xqb3vnc1tg",,HistoriaEnFotos,josemendoza999
679,marielamolina,loremelendez,Directed,751,,,1,18028,1663,1663,2017-09-21,"('marielamolina', 'loremelendez')",rt @runrunesweb: la escasez de comida hace que los jóvenes venezolanos sientan ansiedad https://t.co/agmmainiue por @loremelendez,,loremelendez,marielamolina
680,marielamolina,EP_Ocio,Directed,752,,,1,18040,1675,1675,2017-09-21,"('marielamolina', 'EP_Ocio')",rt @ep_ocio: ¡atentos! la jugada que prepara cabello contra lorenzo mendoza https://t.co/q5t0ovfy6d https://t.co/tcuivn5krm,,EP_Ocio,marielamolina
681,JulioCesarAscan,RuJo171,Directed,753,,,1,18069,1704,1704,2017-09-21,"('JulioCesarAscan', 'RuJo171')",rt @rujo171: @rmarcotorres @tictelevisiontv @gobiernoaragua @ciudadmcy y el resto de maracay a oscura. av.maracay. av. aragua. av. intercom…,,RuJo171,JulioCesarAscan
682,JulioCesarAscan,RMarcoTorres,Directed,754,,,1,18070,1705,1705,2017-09-21,"('JulioCesarAscan', 'RMarcoTorres')",rt @rujo171: @rmarcotorres @tictelevisiontv @gobiernoaragua @ciudadmcy y el resto de maracay a oscura. av.maracay. av. aragua. av. intercom…,,RMarcoTorres,JulioCesarAscan
683,JulioCesarAscan,TICTelevisionTV,Directed,755,,,1,18071,1706,1706,2017-09-21,"('JulioCesarAscan', 'TICTelevisionTV')",rt @rujo171: @rmarcotorres @tictelevisiontv @gobiernoaragua @ciudadmcy y el resto de maracay a oscura. av.maracay. av. aragua. av. intercom…,,TICTelevisionTV,JulioCesarAscan
684,JulioCesarAscan,GobiernoAragua,Directed,756,,,1,18072,1707,1707,2017-09-21,"('JulioCesarAscan', 'GobiernoAragua')",rt @rujo171: @rmarcotorres @tictelevisiontv @gobiernoaragua @ciudadmcy y el resto de maracay a oscura. av.maracay. av. aragua. av. intercom…,,GobiernoAragua,JulioCesarAscan
685,JulioCesarAscan,CiudadMCY,Directed,757,,,1,18073,1708,1708,2017-09-21,"('JulioCesarAscan', 'CiudadMCY')",rt @rujo171: @rmarcotorres @tictelevisiontv @gobiernoaragua @ciudadmcy y el resto de maracay a oscura. av.maracay. av. aragua. av. intercom…,,CiudadMCY,JulioCesarAscan
686,univisionent,katedelcastillo,Directed,759,,,1,18098,1733,1733,2017-09-21,"('univisionent', 'katedelcastillo')","con la voz quebrada, @katedelcastillo dice cómo está ayudando a su país. https://t.co/vxmgjzb5gh https://t.co/xjm2bxxdpv",,katedelcastillo,univisionent
687,monysalas13,CruzRoja_MX,Directed,760,,,1,18175,1810,1810,2017-09-21,"('monysalas13', 'CruzRoja_MX')",rt @cruzroja_mx: sigamos sumando esfuerzos de ayuda para nuestros hermanos mexicanos. cada donativo es muy valioso.…,,CruzRoja_MX,monysalas13
688,monysalas13,lrgvp,Directed,761,,,1,18178,1813,1813,2017-09-21,"('monysalas13', 'lrgvp')","rt @lrgvp: @usembassyve gracias! necesitamos su ayuda para volver a ser libres, por favor.",,lrgvp,monysalas13
689,monysalas13,usembassyve,Directed,762,,,1,18179,1814,1814,2017-09-21,"('monysalas13', 'usembassyve')","rt @lrgvp: @usembassyve gracias! necesitamos su ayuda para volver a ser libres, por favor.",,usembassyve,monysalas13
690,TommyTorrescol,Tommy_Torres,Directed,763,,,1,18208,1843,1843,2017-09-21,"('TommyTorrescol', 'Tommy_Torres')",rt @tommy_torres: ¡por favor rt!  si quieren ayudar a #puertorico aquí una manera inmediata.  #unidosporpuertorico…,,Tommy_Torres,TommyTorrescol
691,ShuVinilica,ExaFM,Directed,764,,,1,18254,1889,1889,2017-09-21,"('ShuVinilica', 'ExaFM')",rt @exafm: 🚨urgente🚨 ayudemos a que este material llegue lo antes posible #ayudacdmx salvemos vidas 🙏🏼 #fuerzaméxico https://t.co/l69g8igvh7,,ExaFM,ShuVinilica
692,Jcmartinez02,donfelixSPM,Directed,765,,,1,18275,1910,1910,2017-09-21,"('Jcmartinez02', 'donfelixSPM')","rt @donfelixspm: mientras trump declara en emergencia a pr, el gobierno dominicano reacciona y prepara un avión lleno de medicinas y alimen…",,donfelixSPM,Jcmartinez02
693,Jcmartinez02,Telenoticiasrd,Directed,766,,,1,18287,1922,1922,2017-09-21,"('Jcmartinez02', 'Telenoticiasrd')",rt @telenoticiasrd: lluvias asociadas al huracán maría seguirán produciéndose en el país este jueves y durante el fin de semana. #maríatn,,Telenoticiasrd,Jcmartinez02
694,chikym,Castifon,Directed,767,,,1,18295,1930,1930,2017-09-21,"('chikym', 'Castifon')","@castifon porque hay un interés enorme en ayudar a maduro, para que fracase la mud y ellos apropiarse de la misma ¿el pais? no les importa.",,Castifon,chikym
695,eileencardet,ElNuevoDia,Directed,768,,,1,18308,1943,1943,2017-09-21,"('eileencardet', 'ElNuevoDia')",rt @elnuevodia: el aeropuerto lmm prepara una de sus pistas para servicios de emergencia - https://t.co/ihwi7zz8jt https://t.co/t7admc5fv6,,ElNuevoDia,eileencardet
696,nyman_heidi,NoticiasCaracol,Directed,769,,,1,18320,1955,1955,2017-09-21,"('nyman_heidi', 'NoticiasCaracol')","rt @noticiascaracol: equipo de búsqueda y rescate de colombia, rumbo a méxico para ayudar a encontrar rastros de vida. informa…",,NoticiasCaracol,nyman_heidi
